#Process ID, Arrival Time, Burst Time[, Completion Time, TurnAround Time, Waiting Time]
0,0,48
1,13,29
2,20,9
3,27,13
4,32,8
5,39,22
6,58,42
7,74,11
8,83,35
9,96,19
10,111,7
11,117,43
12,119,13
13,128,37
14,134,37
15,153,36
16,167,47
17,185,24
18,202,5
19,206,21
20,207,12
21,235,6
22,244,9
23,273,9
24,281,41
25,297,15
26,327,11
27,336,35
28,366,41
29,380,45
30,393,20
31,406,40
32,424,7
33,440,10
34,466,12
35,495,44
36,495,18
37,510,27
38,530,37
39,556,5
40,558,16
41,570,23
42,593,6
43,616,9
44,635,6
45,648,18
46,663,23
47,684,18
48,712,37
49,717,42
